utc,nav,balance,unrealized_pl,open_trades,realized_since_config,net_deposits
2026-08-04T04:15:02Z,2243.03,2312.86,-69.83,5,-179.44,0.00
2026-08-04T05:15:03Z,2241.98,2312.86,-70.87,5,-179.44,0.00
2026-08-04T06:15:03Z,2251.94,2312.86,-60.91,6,-179.44,0.00
2026-08-04T07:15:02Z,2233.80,2312.86,-79.06,6,-179.44,0.00
2026-08-04T08:15:02Z,2234.97,2321.90,-86.93,6,-170.39,0.00
2026-08-04T09:15:02Z,2209.97,2321.90,-111.94,6,-170.39,0.00
2026-08-04T10:15:02Z,2164.29,2321.90,-157.61,6,-170.39,0.00
2026-08-04T11:15:01Z,2140.66,2321.90,-181.24,6,-170.39,0.00
2026-08-04T12:15:03Z,2153.90,2321.90,-168.01,6,-170.39,0.00
2026-08-04T13:15:01Z,2136.25,2321.90,-185.65,6,-170.39,0.00
2026-08-04T14:15:02Z,2075.36,2321.90,-246.55,6,-170.39,0.00
2026-08-04T15:15:02Z,2129.26,2321.90,-192.64,6,-170.39,0.00
2026-08-04T16:15:02Z,2101.29,2321.90,-220.61,6,-170.39,0.00
2026-08-04T17:15:02Z,2085.17,2321.90,-236.73,6,-170.39,0.00
2026-08-04T18:15:02Z,2090.57,2321.90,-231.33,6,-170.39,0.00
2026-08-04T19:15:02Z,2043.35,2235.53,-192.19,5,-256.76,0.00
2026-08-04T20:15:02Z,2035.87,2235.53,-199.66,5,-256.76,0.00
2026-08-04T21:15:03Z,2039.42,2233.51,-194.09,5,-256.76,0.00
2026-08-04T22:15:02Z,2037.52,2233.51,-195.99,5,-256.76,0.00
2026-08-04T23:15:01Z,2027.65,2233.51,-205.86,5,-256.76,0.00
2026-08-05T00:15:02Z,2033.04,2233.51,-200.47,5,-256.76,0.00
2026-08-05T01:15:02Z,2050.17,2233.51,-183.34,5,-256.76,0.00
2026-08-05T02:15:02Z,2065.36,2233.51,-168.15,5,-256.76,0.00
2026-08-05T03:15:02Z,2000.53,2233.51,-232.97,5,-256.76,0.00
2026-08-05T04:15:02Z,1994.30,2233.51,-239.21,5,-256.76,0.00
2026-08-05T05:15:02Z,2034.83,2233.51,-198.68,5,-256.76,0.00
2026-08-05T06:15:03Z,2013.68,2233.51,-219.83,5,-256.76,0.00
2026-08-05T07:15:02Z,2036.38,2233.51,-197.13,5,-256.76,0.00
2026-08-05T08:15:02Z,2031.68,2233.51,-201.83,6,-256.76,0.00
2026-08-05T09:15:02Z,2036.81,2233.51,-196.70,6,-256.76,0.00
2026-08-05T10:15:02Z,2035.89,2233.51,-197.62,6,-256.76,0.00
2026-08-05T11:15:03Z,2018.19,2233.51,-215.32,6,-256.76,0.00
2026-08-05T12:15:02Z,1988.35,2233.51,-245.16,6,-256.76,0.00
2026-08-05T13:15:02Z,2005.95,2233.51,-227.56,6,-256.76,0.00
2026-08-05T14:15:03Z,1943.72,2236.17,-292.45,5,-254.10,0.00
2026-08-05T15:15:02Z,1963.24,2203.71,-240.47,4,-286.56,0.00
2026-08-05T16:15:02Z,1988.13,2203.71,-215.59,5,-286.56,0.00
2026-08-05T17:15:01Z,1995.75,2206.66,-210.90,4,-283.61,0.00
2026-08-05T18:15:02Z,1944.24,2206.66,-262.41,5,-283.61,0.00
2026-08-05T19:15:03Z,1951.29,2206.66,-255.37,5,-283.61,0.00
2026-08-05T20:15:02Z,1971.88,2206.66,-234.78,5,-283.61,0.00
2026-08-05T21:15:02Z,1944.09,2118.68,-174.60,4,-367.28,0.00
2026-08-05T22:15:02Z,1959.42,2118.68,-159.26,4,-367.28,0.00
2026-08-05T23:15:02Z,1953.57,2118.68,-165.11,5,-367.28,0.00
2026-08-06T00:15:02Z,1956.93,2118.68,-161.75,5,-367.28,0.00
2026-08-06T01:15:03Z,1959.23,2118.68,-159.46,5,-367.28,0.00
2026-08-06T02:15:02Z,1958.34,2118.68,-160.34,5,-367.28,0.00
2026-08-06T03:15:03Z,1979.76,2118.68,-138.93,5,-367.28,0.00
2026-08-06T04:15:02Z,2010.12,2118.68,-108.56,5,-367.28,0.00
2026-08-06T05:15:02Z,2027.87,2118.68,-90.81,6,-367.28,0.00
2026-08-06T06:15:02Z,2019.82,2136.64,-116.82,4,-349.32,0.00
2026-08-06T07:15:01Z,2024.82,2136.64,-111.82,5,-349.32,0.00
2026-08-06T08:15:03Z,2027.55,2136.64,-109.09,6,-349.32,0.00
2026-08-06T09:15:02Z,2006.02,2136.64,-130.62,6,-349.32,0.00
2026-08-06T10:15:03Z,2028.52,2136.64,-108.12,6,-349.32,0.00
2026-08-06T11:15:02Z,2013.87,2136.64,-122.77,6,-349.32,0.00
2026-08-06T12:15:01Z,2014.27,2136.64,-122.37,6,-349.32,0.00
2026-08-06T13:15:03Z,2041.81,2136.64,-94.83,6,-349.32,0.00
2026-08-06T14:15:02Z,2020.58,2136.64,-116.07,6,-349.32,0.00
2026-08-06T15:15:02Z,2028.68,2136.64,-107.97,6,-349.32,0.00
2026-08-06T16:15:02Z,2079.04,2114.75,-35.71,6,-371.21,0.00
2026-08-06T17:15:02Z,2058.66,2129.93,-71.27,6,-356.03,0.00
2026-08-06T18:15:02Z,2039.54,2129.93,-90.39,6,-356.03,0.00
2026-08-06T19:15:02Z,2042.34,2129.93,-87.59,6,-356.03,0.00
2026-08-06T20:15:03Z,2052.63,2132.44,-79.81,6,-353.52,0.00
2026-08-06T21:15:02Z,2028.59,2130.02,-101.43,6,-353.52,0.00
2026-08-06T22:15:04Z,2054.75,2130.02,-75.27,6,-353.52,0.00
2026-08-06T23:15:02Z,2056.89,2130.02,-73.13,6,-353.52,0.00
2026-08-07T00:15:02Z,2065.31,2130.02,-64.71,6,-353.52,0.00
2026-08-07T01:15:03Z,2060.46,2130.02,-69.56,6,-353.52,0.00
2026-08-07T02:15:02Z,2076.98,2130.02,-53.04,6,-353.52,0.00
2026-08-07T03:15:03Z,2088.35,2130.02,-41.67,6,-353.52,0.00
2026-08-07T04:15:02Z,2082.44,2130.02,-47.58,6,-353.52,0.00
2026-08-07T05:15:03Z,2069.20,2130.02,-60.82,6,-353.52,0.00
2026-08-07T06:15:02Z,2060.46,2130.02,-69.56,6,-353.52,0.00
2026-08-07T07:15:02Z,2038.25,2130.02,-91.77,6,-353.52,0.00
2026-08-07T08:15:03Z,2043.04,2132.81,-89.77,6,-350.74,0.00
2026-08-07T09:15:01Z,2032.57,2137.01,-104.44,6,-346.53,0.00
2026-08-07T10:15:02Z,2042.05,2139.55,-97.50,6,-343.99,0.00
2026-08-07T11:15:03Z,2044.68,2144.31,-99.63,6,-339.23,0.00
2026-08-07T12:15:01Z,2022.55,2144.31,-121.76,6,-339.23,0.00
2026-08-07T13:15:03Z,1829.52,1893.92,-64.40,1,-589.63,0.00
2026-08-07T14:15:03Z,1834.64,1893.92,-59.27,2,-589.63,0.00
2026-08-07T15:15:01Z,1817.13,1893.92,-76.78,4,-589.63,0.00
2026-08-07T16:15:03Z,1811.93,1896.02,-84.09,3,-587.52,0.00
2026-08-07T17:15:02Z,1816.62,1896.02,-79.41,5,-587.52,0.00
2026-08-07T18:15:02Z,1823.75,1896.02,-72.28,6,-587.52,0.00
2026-08-07T19:15:02Z,1811.32,1899.60,-88.27,6,-583.95,0.00
2026-08-07T20:15:03Z,1829.62,1902.03,-72.41,6,-581.51,0.00
