tid,pair,dir,raw_dir,composite,d_cert,m_cert,expected,vol_regime,m5_volume,spread_pips,h1_ret_aligned,peak_pips,exit_net,session,atr_5m,atr_1h,atr_d,atr_conc,atr_h1_relative,wall_frac,trend_4h_pips,htf_pct_20,htf_pct_60,rvol_5bar,rvol_12bar,rsi14_m5,rsi14_h1,bb_pos_h1,ema20_dist_pct,ema50_dist_pct,ret_5m_aligned,ret_15m_aligned,ret_30m_aligned,adx14_h1,adr_consumed
8993,USD_JPY,short,-0.2813,-0.0820,0.3630,0.8030,29.8000,normal,669,1.4000,-9.1000,0.0000,-19.0000,asia,7.51,25.11,61.75,11.671,9.758,7.86,-15.1,1.0,0.96,0.71,1.26,29.1,58.2,0.13,-0.035,,-0.1,1.5,-3.4,12.7,0.88
9000,AUD_USD,short,-0.3250,-0.0680,0.4500,0.4650,8.8000,normal,185,1.3000,13.3000,9.6000,8.8000,asia,2.64,9.39,54.31,4.671,4.15,0.87,-15.0,0.55,0.42,1.04,1.03,43.5,29.8,-1.01,-0.181,,2.8,5.1,9.5,33.1,0.63
9011,AUD_USD,short,-0.4740,-0.0800,0.5760,0.2930,9.8000,normal,201,1.3000,5.0000,3.5000,1.5000,asia,2.73,8.59,54.31,4.823,3.797,2.64,-19.6,0.55,0.42,1.1,1.01,21.3,17.0,-1.08,-0.286,,-1.6,4.4,6.5,61.6,0.63
9014,USD_JPY,long,0.2819,0.0490,0.3880,0.4480,17.6000,normal,482,1.5000,2.8000,2.8000,2.6000,asia,3.46,25.4,61.75,5.375,9.872,11.86,26.6,1.0,0.96,0.92,0.72,80.4,65.3,0.33,0.142,,1.8,3.0,10.9,2.3,0.88
9017,AUD_JPY,short,-0.4130,-0.0860,0.5030,0.4140,12.1000,normal,327,2.2000,6.1000,1.5000,-5.7000,asia,4.13,18.04,75.78,5.23,5.712,6.56,-12.4,0.95,0.81,0.98,0.77,36.2,34.2,-0.52,-0.197,,-0.9,3.8,8.1,34.4,0.74
9029,AUD_USD,short,-0.3701,-0.0860,0.4610,0.5040,10.5000,normal,187,1.3000,-11.5000,1.0000,-19.1500,asia,2.21,8.58,54.31,3.914,3.791,4.74,-0.7,0.55,0.42,0.95,1.01,34.0,38.0,-0.43,-0.308,,1.6,0.7,3.2,38.8,0.63
9032,USD_JPY,long,0.2652,0.0290,0.3550,0.3080,26.2000,normal,749,1.4000,-3.9000,0.0000,-18.7500,asia,3.44,22.56,61.75,5.341,8.767,10.71,13.6,1.0,0.96,1.14,1.23,61.4,48.7,0.21,0.153,,-0.7,4.3,5.7,25.0,0.88
9037,USD_CHF,long,0.2860,0.0340,0.4420,0.2690,10.9000,normal,269,1.5000,9.2000,7.7000,5.7500,london,3.52,10.86,59.24,5.706,4.398,2.75,5.9,0.85,0.95,1.13,1.22,49.6,65.8,0.74,0.237,,1.2,2.3,9.7,49.2,0.86
9040,AUD_JPY,long,0.2810,0.0470,0.4020,0.4160,19.7000,normal,410,2.3000,13.8000,4.9000,-17.5000,london,4.51,18.62,75.78,5.71,5.898,5.7,36.7,0.95,0.81,0.82,0.94,58.2,41.7,0.29,0.132,,5.8,7.9,16.3,27.3,0.74
9043,GBP_USD,long,0.3187,0.0870,0.5170,0.5280,18.7000,normal,836,2.0000,37.0000,7.5000,6.6500,london,5.37,17.31,81.14,6.355,5.119,6.03,62.7,0.1,0.05,1.06,1.12,84.3,59.7,0.66,0.094,,5.5,10.7,23.3,16.9,1.01
9046,EUR_JPY,long,0.3244,0.0750,0.4670,0.4950,20.4000,normal,619,2.8000,25.0000,9.4000,6.4000,london,5.32,24.57,91.11,5.607,6.473,9.28,46.6,0.6,0.54,0.79,0.84,80.3,37.2,0.23,0.084,,1.9,4.4,11.8,51.6,0.92
9052,GBP_USD,long,0.2923,0.1220,0.4370,0.9550,15.0000,normal,547,2.1000,1.8000,1.2000,-19.3500,london,4.44,17.1,81.14,5.248,5.058,10.57,41.5,0.1,0.05,0.68,0.71,73.8,61.5,0.73,0.187,,0.6,6.3,7.0,33.8,1.01
9056,USD_CAD,long,0.6370,0.3140,0.7260,0.6790,13.0000,normal,291,1.9000,15.3000,9.1000,5.7000,ny,4.06,10.39,59.62,6.533,4.181,5.62,26.8,0.75,0.88,0.82,0.82,70.4,63.7,1.36,0.181,,-1.8,2.0,7.9,54.2,0.87
9068,USD_JPY,short,-0.2610,-0.0580,0.3590,0.6190,16.0000,normal,1437,1.6000,-14.2000,1.9000,-18.1500,ny,3.31,12.15,61.75,5.153,4.722,19.85,5.1,1.0,0.96,2.16,2.19,37.9,56.2,0.2,-0.052,,-4.1,7.1,8.6,19.0,0.88
9078,EUR_JPY,long,0.2544,0.0260,0.3500,0.2920,14.6000,normal,373,2.4000,10.1000,13.0000,10.4000,ny,4.86,16.95,91.11,5.118,4.465,8.85,10.7,0.6,0.54,0.52,0.54,60.2,62.6,0.54,0.076,,-5.1,-5.0,1.0,18.3,0.92
