tid,pair,dir,raw_dir,composite,d_cert,m_cert,expected,vol_regime,m5_volume,spread_pips,h1_ret_aligned,peak_pips,exit_net,session,atr_5m,atr_1h,atr_d,atr_conc,atr_h1_relative,wall_frac,trend_4h_pips,htf_pct_20,htf_pct_60
8876,USD_CHF,long,0.4910,0.1950,0.5690,0.6980,8.9000,normal,178,1.5000,3.8000,11.0000,8.2000,ny,2.27,15.06,59.24,3.681,6.1,5.77,15.8,0.85,0.95
8882,USD_CAD,long,0.3751,0.1500,0.4560,0.8770,11.1000,normal,392,1.8000,-1.9000,0.9000,-12.5000,ny,2.94,14.76,59.62,4.738,5.943,1.43,20.2,0.75,0.86
8902,GBP_USD,short,-0.5256,-0.1750,0.6270,0.5310,16.3000,normal,999,2.1000,3.1000,1.6000,-9.6500,ny,3.55,25.04,81.14,4.2,7.407,0.45,-25.9,0.1,0.05
8905,EUR_USD,short,-0.4579,-0.1720,0.5590,0.6720,16.0000,normal,783,1.7000,1.8000,2.3000,-8.9000,ny,2.52,16.87,64.14,3.774,6.313,0.91,-11.8,0.1,0.12
8911,USD_CHF,long,0.5551,0.2150,0.6510,0.5950,17.5000,normal,335,1.5000,-3.1000,4.0000,-11.8000,ny,2.79,15.34,59.24,4.514,6.216,1.44,8.1,0.85,0.95
8915,GBP_USD,short,-0.3430,-0.1290,0.4810,0.7820,23.9000,normal,861,1.8000,3.1000,8.5000,3.9000,ny,4.43,25.04,81.14,5.239,7.407,2.89,-25.9,0.1,0.05
8922,USD_CHF,long,0.3415,0.0600,0.4370,0.4020,13.9000,normal,190,1.4000,-1.5000,0.7000,-7.5500,ny,3.66,15.29,59.24,5.938,6.195,3.49,1.6,0.85,0.95
8926,GBP_USD,short,-0.2773,-0.0660,0.4750,0.5010,18.2000,normal,526,1.8000,-4.8000,0.0000,-2.6000,ny,4.84,23.94,81.14,5.721,7.082,2.34,-16.6,0.1,0.05
8938,GBP_USD,short,-0.2623,-0.0870,0.4780,0.6940,14.3000,normal,91,1.8000,-4.8000,2.4000,-6.2500,ny,4.16,23.94,81.14,4.918,7.082,2.91,-16.6,0.1,0.05
8941,EUR_USD,short,-0.3124,-0.1170,0.3910,0.9580,8.3000,normal,158,1.6000,-0.0000,0.0000,-4.0000,ny,2.56,16.12,64.14,3.827,6.032,2.11,-7.8,0.1,0.12
8944,USD_CAD,long,0.2773,0.0980,0.3910,0.9040,10.0000,normal,332,2.7000,0.4000,0.0000,-5.7000,ny,3.28,14.78,59.62,5.279,5.949,2.1,-0.3,0.75,0.86
8955,AUD_JPY,short,-0.2700,-0.0510,0.3660,0.5160,36.3000,normal,361,2.3000,14.7000,10.3000,3.5000,asia,3.74,20.24,75.78,4.733,6.411,11.32,-31.5,0.95,0.81
8961,USD_JPY,short,-0.3372,-0.0920,0.4770,0.5720,36.1000,normal,1463,1.5000,19.4000,12.4000,8.5500,asia,5.2,24.09,61.75,8.084,9.364,12.73,-28.5,1.0,0.96
8964,AUD_JPY,short,-0.3930,-0.0510,0.4860,0.2670,37.6000,normal,444,2.5000,14.7000,8.5000,3.8000,asia,4.33,20.24,75.78,5.484,6.411,10.1,-31.5,0.95,0.81
8972,USD_JPY,short,-0.4006,-0.1240,0.5100,0.6070,37.0000,normal,1010,1.7000,19.4000,7.4000,1.6000,asia,6.1,24.09,61.75,9.483,9.364,9.57,-28.5,1.0,0.96
8981,AUD_JPY,short,-0.3153,-0.0590,0.4050,0.4620,27.3000,normal,617,2.1000,5.0000,5.2000,3.5500,asia,5.65,20.21,75.78,7.158,6.4,6.73,-27.3,0.95,0.81
8984,AUD_USD,short,-0.2790,-0.0930,0.3840,0.8680,12.5000,normal,162,1.3000,7.4000,5.1000,2.9500,asia,2.29,10.25,54.31,4.04,4.529,2.76,-10.0,0.55,0.42
8990,AUD_JPY,short,-0.3748,-0.0670,0.4560,0.3920,25.5000,normal,653,2.2000,5.0000,4.5000,3.0000,asia,5.64,20.21,75.78,7.14,6.4,6.32,-27.3,0.95,0.81
8993,USD_JPY,short,-0.2813,-0.0820,0.3630,0.8030,29.8000,normal,669,1.4000,-9.1000,0.0000,-19.0000,asia,7.51,25.11,61.75,11.671,9.758,7.86,-15.1,1.0,0.96
9000,AUD_USD,short,-0.3250,-0.0680,0.4500,0.4650,8.8000,normal,185,1.3000,13.3000,9.6000,8.8000,asia,2.64,9.39,54.31,4.671,4.15,0.87,-15.0,0.55,0.42
9011,AUD_USD,short,-0.4740,-0.0800,0.5760,0.2930,9.8000,normal,201,1.3000,5.0000,3.5000,1.5000,asia,2.73,8.59,54.31,4.823,3.797,2.64,-19.6,0.55,0.42
9014,USD_JPY,long,0.2819,0.0490,0.3880,0.4480,17.6000,normal,482,1.5000,2.8000,2.8000,2.6000,asia,3.46,25.4,61.75,5.375,9.872,11.86,26.6,1.0,0.96
9017,AUD_JPY,short,-0.4130,-0.0860,0.5030,0.4140,12.1000,normal,327,2.2000,6.1000,1.5000,-5.7000,asia,4.13,18.04,75.78,5.23,5.712,6.56,-12.4,0.95,0.81
9029,AUD_USD,short,-0.3701,-0.0860,0.4610,0.5040,10.5000,normal,187,1.3000,-11.5000,1.0000,-19.1500,asia,2.21,8.58,54.31,3.914,3.791,4.74,-0.7,0.55,0.42
9032,USD_JPY,long,0.2652,0.0290,0.3550,0.3080,26.2000,normal,749,1.4000,-3.9000,0.0000,-18.7500,asia,3.44,22.56,61.75,5.341,8.767,10.71,13.6,1.0,0.96
9037,USD_CHF,long,0.2860,0.0340,0.4420,0.2690,10.9000,normal,269,1.5000,9.2000,7.7000,5.7500,london,3.52,10.86,59.24,5.706,4.398,2.75,5.9,0.85,0.95
9040,AUD_JPY,long,0.2810,0.0470,0.4020,0.4160,19.7000,normal,410,2.3000,13.8000,4.9000,-17.5000,london,4.51,18.62,75.78,5.71,5.898,5.7,36.7,0.95,0.81
9043,GBP_USD,long,0.3187,0.0870,0.5170,0.5280,18.7000,normal,836,2.0000,37.0000,7.5000,6.6500,london,5.37,17.31,81.14,6.355,5.119,6.03,62.7,0.1,0.05
9046,EUR_JPY,long,0.3244,0.0750,0.4670,0.4950,20.4000,normal,619,2.8000,25.0000,9.4000,6.4000,london,5.32,24.57,91.11,5.607,6.473,9.28,46.6,0.6,0.54
9052,GBP_USD,long,0.2923,0.1220,0.4370,0.9550,15.0000,normal,547,2.1000,1.8000,1.2000,-19.3500,london,4.44,17.1,81.14,5.248,5.058,10.57,41.5,0.1,0.05
9056,USD_CAD,long,0.6370,0.3140,0.7260,0.6790,13.0000,normal,291,1.9000,15.3000,9.1000,5.7000,ny,4.06,10.39,59.62,6.533,4.181,5.62,26.8,0.75,0.88
9068,USD_JPY,short,-0.2610,-0.0580,0.3590,0.6190,16.0000,normal,1437,1.6000,-14.2000,1.9000,-18.1500,ny,3.31,12.15,61.75,5.153,4.722,19.85,5.1,1.0,0.96
9078,EUR_JPY,long,0.2544,0.0260,0.3500,0.2920,14.6000,normal,373,2.4000,10.1000,13.0000,10.4000,ny,4.86,16.95,91.11,5.118,4.465,8.85,10.7,0.6,0.54
